endTime,artistName,trackName,msPlayed,genre
2024-09-02 22:23,Matt Maltese,As the World Caves In,3946,pop
2024-09-02 22:23,KANA-BOON,スターマーカー (Album Mix),1877,anime
2024-09-02 22:23,Lana Del Rey,Radio,2197,female vocalists
2024-09-02 22:23,Regina Spektor,Two Birds,3669,female vocalists
2024-09-02 22:23,Billie Eilish,BIRDS OF A FEATHER,725,pop
2024-09-02 22:23,Taylor Swift,The Man,4245,country
2024-09-02 22:23,Sasha Alex Sloan,Dancing With Your Ghost,6229,indie pop
2024-09-02 22:28,Billie Eilish,WILDFLOWER,261466,pop
2024-09-02 22:29,Taylor Swift,Don’t Blame Me,277,country
2024-09-02 22:34,Taylor Swift,You Belong With Me,832,country
2024-09-02 22:34,Billie Eilish,WILDFLOWER,1467,pop
2024-09-02 22:34,Billie Eilish,WILDFLOWER,21290,pop
2024-09-02 22:34,Billie Eilish,WILDFLOWER,8539,pop
2024-09-02 22:34,Taylor Swift,We Are Never Ever Getting Back Together,13589,country
2024-09-02 22:34,Olivia Rodrigo,"All I Want - From ""High School Musical: The Musical: The Series""",485,pop
2024-09-02 22:34,Olivia Rodrigo,"All I Want - From ""High School Musical: The Musical: The Series""",768,pop
2024-09-02 22:39,Billie Eilish,WILDFLOWER,261466,pop
2024-09-02 22:41,The Neighbourhood,You Get Me So High,153000,indie
2024-09-02 22:42,Sabrina Carpenter,Taste,17073,pop
2024-09-02 22:46,The Neighbourhood,The Beach,255133,indie
2024-09-02 22:50,Arctic Monkeys,505,253586,indie
2024-09-02 22:56,The Neighbourhood,Flawless,177192,indie
2024-09-03 03:41,Billie Eilish,WILDFLOWER,19578,pop
2024-09-03 03:41,Billie Eilish,BIRDS OF A FEATHER,210373,pop
2024-09-03 03:45,Sixpence None The Richer,Kiss Me,207530,pop
2024-09-03 09:33,Billie Eilish,WILDFLOWER,261466,pop
2024-09-03 09:38,Billie Eilish,WILDFLOWER,261466,pop
2024-09-03 09:42,Billie Eilish,WILDFLOWER,261466,pop
2024-09-03 09:46,Billie Eilish,WILDFLOWER,261466,pop
2024-09-03 09:51,Billie Eilish,WILDFLOWER,261466,pop
2024-09-03 09:55,Billie Eilish,WILDFLOWER,261466,pop
2024-09-03 09:59,Billie Eilish,WILDFLOWER,261466,pop
2024-09-03 10:03,Billie Eilish,WILDFLOWER,235289,pop
2024-09-04 18:35,Billie Eilish,WILDFLOWER,17290,pop
2024-09-04 18:39,Billie Eilish,WILDFLOWER,261466,pop
2024-09-04 18:43,Taylor Swift,Labyrinth,247962,country
2024-09-04 18:47,Taylor Swift,Lover,221306,country
2024-09-04 18:51,Jung Kook,Still With You,239905,k-pop
2024-09-04 18:57,Lana Del Rey,Brooklyn Baby,351640,female vocalists
2024-09-04 19:01,Coyote Theory,This Side of Paradise,242010,indie
2024-09-04 19:04,Lana Del Rey,Summertime Sadness,195818,female vocalists
2024-09-04 19:09,Claude Debussy,"Suite Bergamasque, L.75: 3.: Claire De Lune",305241,classical piano
